thickness_cm,energy_mev,w_H,density_g_cm3,transmitted_dose_mgy
6.42,328.58,0.0776,0.8927,37.7541
9.55,336.34,0.086,0.8973,32.1467
0.94,168.13,0.0443,0.8744,22.8948
17.5,183.37,0.1454,0.93,0.0
16.88,61.37,0.078,0.8929,0.0
19.39,437.14,0.0691,0.888,29.2674
11.45,92.3,0.1411,0.9276,0.0686
17.16,470.86,0.128,0.9204,38.3196
12.42,342.14,0.1075,0.9091,27.8859
17.52,247.14,0.0563,0.881,4.1246
17.14,445.07,0.0286,0.8657,34.5233
18.75,466.88,0.0998,0.9049,34.8613
15.43,113.71,0.1359,0.9247,0.0
16.36,279.38,0.0738,0.8906,11.2405
17.66,416.87,0.1286,0.9207,29.3533
18.91,181.59,0.0588,0.8823,0.0
5.36,112.27,0.0846,0.8965,6.7588
19.42,283.78,0.1001,0.9051,5.8735
15.93,308.38,0.1036,0.907,16.2065
10.0,342.66,0.1151,0.9133,33.0693
8.07,37.09,0.1081,0.9095,0.0058
1.73,401.89,0.0955,0.9025,57.2384
1.82,390.12,0.073,0.8901,55.2575
0.91,199.08,0.0384,0.8711,27.6205
10.86,474.19,0.0492,0.8771,50.6116
6.33,365.43,0.1306,0.9218,43.0566
15.8,479.17,0.0737,0.8905,41.8979
4.26,281.35,0.0956,0.9026,33.7193
12.73,110.22,0.056,0.8808,0.0564
12.51,429.94,0.0874,0.8981,41.0541
9.56,86.69,0.0758,0.8917,0.0
18.22,23.62,0.032,0.8676,0.1154
17.13,476.99,0.1234,0.9179,39.803
14.69,455.62,0.1175,0.9146,41.0993
15.25,175.58,0.0273,0.865,0.2897
10.19,369.81,0.1306,0.9218,36.4765
12.02,425.56,0.0596,0.8828,41.3088
8.67,226.55,0.125,0.9187,17.7483
1.39,339.83,0.1106,0.9108,48.4436
18.86,55.18,0.1313,0.9222,0.1258
1.55,210.62,0.0396,0.8718,28.5332
14.16,404.69,0.0226,0.8624,34.1134
17.44,359.05,0.056,0.8808,21.2401
19.38,292.31,0.121,0.9165,7.0785
16.75,16.68,0.0695,0.8882,0.1815
3.73,391.89,0.0534,0.8794,51.8365
17.93,247.33,0.0731,0.8902,3.3135
2.72,45.49,0.0854,0.897,1.4404
10.74,97.2,0.1194,0.9157,0.0748
13.16,449.6,0.1334,0.9234,43.0283
2.57,375.03,0.1001,0.9051,51.3298
7.88,363.3,0.1243,0.9184,39.8353
10.49,497.84,0.071,0.8891,54.8678
11.82,148.94,0.0533,0.8793,0.2325
17.0,73.94,0.0259,0.8642,0.0622
19.98,68.17,0.1043,0.9074,0.0125
6.48,399.51,0.1069,0.9088,48.0721
0.68,193.04,0.113,0.9122,28.0435
7.4,203.8,0.0718,0.8895,16.7182
15.12,41.83,0.1412,0.9277,0.0814
4.55,364.55,0.0292,0.8661,46.2874
12.81,10.71,0.0837,0.896,0.0
2.15,162.67,0.1386,0.9262,20.4094
18.32,78.92,0.0329,0.8681,0.0
6.06,464.23,0.0628,0.8845,58.4996
4.4,402.36,0.0648,0.8856,51.819
11.53,470.66,0.1321,0.9227,48.433
8.97,310.19,0.0813,0.8947,29.5085
10.62,158.59,0.0409,0.8725,3.574
11.81,474.96,0.0939,0.9016,49.6166
14.5,184.69,0.0562,0.8809,0.0017
11.08,213.71,0.0308,0.8669,11.4358
3.62,407.62,0.1245,0.9185,54.5674
16.28,248.33,0.0624,0.8843,6.8916
12.56,104.99,0.0395,0.8717,0.2254
13.2,327.49,0.089,0.899,23.9148
9.14,200.4,0.0377,0.8707,12.9656
18.87,492.41,0.0556,0.8806,38.3678
5.93,354.6,0.0284,0.8656,41.9953
18.3,408.09,0.085,0.8967,26.9486
15.25,112.26,0.1374,0.9256,0.0
4.73,35.77,0.1151,0.9133,0.0
2.14,13.12,0.088,0.8984,0.1532
14.71,74.37,0.04,0.872,0.0
7.38,337.59,0.0667,0.8867,36.8697
5.36,316.7,0.116,0.9138,37.0507
5.98,125.53,0.1277,0.9202,7.3495
10.87,37.07,0.0812,0.8947,0.0
17.31,16.34,0.0378,0.8708,0.0
1.86,400.64,0.1407,0.9274,56.4486
10.96,230.52,0.0433,0.8738,14.0083
0.8,186.95,0.1367,0.9252,26.7656
5.55,84.31,0.116,0.9138,2.1223
5.77,261.07,0.0669,0.8868,28.6551
2.3,194.93,0.0394,0.8717,25.1409
3.04,408.82,0.0665,0.8866,55.4931
4.05,408.64,0.1371,0.9254,53.2036
7.4,411.77,0.0357,0.8696,47.7849
11.14,445.37,0.1477,0.9312,46.0246
13.72,144.63,0.0505,0.8778,0.0
15.98,438.18,0.066,0.8863,35.9429
8.28,175.56,0.0968,0.9032,10.7599
1.99,256.75,0.0427,0.8735,34.8264
8.37,330.89,0.0802,0.8941,34.3435
10.51,322.77,0.14,0.927,28.8758
11.64,175.97,0.0248,0.8636,4.6794
3.24,168.9,0.1418,0.928,19.5671
15.68,439.5,0.0357,0.8696,36.2045
1.83,340.01,0.1277,0.9202,47.7059
14.64,339.21,0.0726,0.8899,23.146
15.58,294.39,0.0577,0.8817,15.075
3.36,314.55,0.1226,0.9174,40.6237
10.78,348.7,0.0715,0.8893,32.246
2.71,444.76,0.1201,0.9161,61.6001
16.49,129.31,0.1017,0.9059,0.0
15.42,102.39,0.0315,0.8673,0.0
11.15,181.58,0.04,0.872,6.3795
13.06,402.15,0.0817,0.8949,35.9583
11.0,472.46,0.0724,0.8898,50.6724
15.5,405.19,0.0624,0.8843,31.4833
4.94,150.5,0.1099,0.9104,13.38
0.86,458.2,0.0741,0.8908,67.313
7.63,449.45,0.0812,0.8947,53.1429
5.23,426.23,0.1003,0.9052,54.2989
6.36,265.25,0.0587,0.8823,27.6845
15.56,44.58,0.1056,0.9081,0.0
12.71,246.06,0.1096,0.9103,12.9685
18.89,350.66,0.0456,0.8751,17.1469
13.72,371.46,0.1299,0.9214,30.0961
12.42,43.55,0.0231,0.8627,0.1237
7.73,135.44,0.0812,0.8947,6.2594
9.72,491.03,0.1059,0.9082,55.44
14.98,84.23,0.1002,0.9051,0.109
11.78,396.91,0.0415,0.8728,37.2916
0.74,269.48,0.0902,0.8996,38.8701
6.35,463.0,0.0601,0.8831,57.3821
14.02,360.07,0.0652,0.8859,27.0072
13.33,269.48,0.141,0.9275,15.7763
17.02,269.51,0.057,0.8813,8.3026
12.89,368.47,0.133,0.9232,31.2134
7.55,60.27,0.0369,0.8703,0.0
1.03,193.55,0.1092,0.9101,27.182
2.71,50.82,0.0939,0.9016,2.8259
11.2,323.09,0.0426,0.8734,27.4109
15.68,38.25,0.1444,0.9294,0.2548
14.1,73.31,0.0463,0.8755,0.0
3.48,402.23,0.0365,0.8701,53.9013
4.33,74.61,0.137,0.9254,2.8121
5.33,28.8,0.0404,0.8722,0.0766
15.09,305.56,0.1022,0.9062,17.3202
12.59,357.28,0.0593,0.8826,29.886
14.08,12.41,0.1109,0.911,0.2621
15.45,133.13,0.0935,0.9014,0.0
3.66,260.47,0.1021,0.9062,32.3827
19.58,218.55,0.1374,0.9256,0.0
11.79,34.04,0.0849,0.8967,0.0671
19.79,263.14,0.1011,0.9056,2.3096
12.3,465.5,0.0885,0.8987,46.7232
10.3,355.05,0.0292,0.8661,33.8805
9.8,153.91,0.13,0.9215,4.7644
3.43,199.66,0.0296,0.8663,23.5698
18.58,35.12,0.068,0.8874,0.0
2.67,228.02,0.0857,0.8971,28.9056
2.14,44.36,0.0896,0.8993,2.7465
6.85,92.11,0.066,0.8863,0.8219
9.04,481.25,0.1082,0.9095,55.2891
0.57,416.11,0.133,0.9232,60.935
0.88,11.63,0.0562,0.8809,0.0513
16.79,400.76,0.1224,0.9173,28.8454
19.09,314.96,0.1144,0.9129,11.4987
0.81,101.53,0.1359,0.9247,13.5954
6.59,446.26,0.1275,0.9201,54.7285
19.87,117.93,0.1358,0.9247,0.0074
2.77,38.93,0.0335,0.8684,0.4232
10.68,387.31,0.0495,0.8772,37.9687
11.66,65.62,0.068,0.8874,0.0
3.64,358.75,0.1395,0.9267,46.6055
2.63,24.57,0.0556,0.8806,0.0
9.67,455.65,0.1456,0.9301,50.3264
0.67,462.82,0.1066,0.9086,68.3625
2.02,197.02,0.0377,0.8707,25.7475
19.34,226.92,0.1011,0.9056,0.1035
9.75,40.04,0.0312,0.8672,0.0891
7.22,269.22,0.129,0.9209,26.9351
6.84,149.54,0.0978,0.9038,9.508
14.7,266.22,0.13,0.9215,12.1548
7.33,321.73,0.0622,0.8842,34.4359
4.89,313.14,0.1362,0.9249,37.8813
2.61,405.06,0.0507,0.8779,55.7571
12.51,12.46,0.1376,0.9257,0.0083
6.52,227.39,0.0964,0.903,21.6572
4.2,479.82,0.034,0.8687,64.0776
0.62,428.07,0.1195,0.9157,62.8021
7.14,170.91,0.1334,0.9234,12.4395
19.28,365.99,0.1411,0.9276,19.0797
9.47,11.48,0.0276,0.8652,0.2817
17.86,137.57,0.0629,0.8846,0.0191
2.07,460.2,0.0788,0.8933,64.9683
19.57,367.01,0.0717,0.8894,18.4532
16.41,173.17,0.1405,0.9273,0.0
14.94,26.19,0.026,0.8643,0.0
17.57,463.16,0.1496,0.9323,36.7437
7.58,392.62,0.0863,0.8975,44.7262
16.52,470.55,0.1439,0.9291,39.8394
0.82,336.96,0.1382,0.926,48.7954
4.37,75.06,0.0301,0.8666,3.1838
3.2,408.77,0.1058,0.9082,55.6002
2.09,487.0,0.0515,0.8783,68.8055
7.03,121.06,0.0253,0.8639,4.7713
4.99,488.34,0.0925,0.9009,63.8665
5.33,463.26,0.0231,0.8627,59.2526
11.78,15.44,0.0465,0.8756,0.0
1.04,32.64,0.1078,0.9093,3.0864
5.98,368.48,0.0406,0.8723,44.1206
4.68,358.97,0.1291,0.921,45.1112
9.25,370.16,0.1415,0.9278,37.9192
11.71,35.43,0.0741,0.8908,0.0
8.59,231.39,0.1395,0.9267,18.8336
8.94,141.11,0.1389,0.9264,4.2081
17.14,98.41,0.1219,0.917,0.0
13.87,295.39,0.11,0.9105,18.4263
12.41,20.24,0.1081,0.9095,0.0
0.62,122.49,0.0356,0.8696,17.5169
3.64,196.94,0.0836,0.896,22.8177
17.97,282.49,0.1129,0.9121,8.3375
6.49,113.57,0.1398,0.9269,5.0926
18.68,127.46,0.0613,0.8837,0.0
2.22,123.01,0.0536,0.8795,14.0593
18.1,372.61,0.1141,0.9128,21.9375
4.81,391.03,0.0536,0.8795,49.4917
17.65,51.04,0.1064,0.9085,0.0
10.41,434.13,0.1225,0.9174,45.4768
18.01,289.49,0.0521,0.8787,9.6364
6.31,113.83,0.1272,0.92,5.2864
2.14,324.12,0.0921,0.9007,44.4349
6.51,55.33,0.1336,0.9235,0.0
1.55,97.88,0.0431,0.8737,11.7278
2.23,468.24,0.1261,0.9194,66.0202
14.95,211.5,0.0935,0.9014,3.5858
14.6,218.57,0.1321,0.9227,5.4197
3.44,296.74,0.092,0.9006,38.0313
12.49,498.56,0.1345,0.924,51.4863
10.54,371.52,0.0686,0.8877,35.7951
0.86,414.9,0.0899,0.8994,60.5467
12.22,382.13,0.1351,0.9243,34.3062
9.56,474.83,0.0232,0.8628,53.3517
2.21,151.47,0.0465,0.8756,18.4404
19.2,18.58,0.1205,0.9163,0.4222
11.64,358.45,0.1241,0.9183,31.935
8.54,54.57,0.0281,0.8655,0.1427
10.04,369.31,0.0461,0.8754,36.5095
3.57,291.38,0.1105,0.9108,36.8363
6.51,42.29,0.051,0.878,0.5514
12.99,115.15,0.047,0.8759,0.2956
9.21,273.19,0.0687,0.8878,23.7331
15.21,340.85,0.0245,0.8635,22.8424
8.6,469.23,0.1024,0.9063,54.5415
1.8,344.54,0.0626,0.8844,48.4631
1.68,172.53,0.1213,0.9167,23.2371
5.57,58.41,0.0687,0.8878,0.039
4.71,98.42,0.0559,0.8807,6.0261
2.02,61.72,0.1485,0.9317,5.1565
15.87,47.34,0.0365,0.8701,0.1924
16.11,165.18,0.1472,0.931,0.1336
17.71,17.27,0.0749,0.8912,0.0933
5.74,38.71,0.1039,0.9071,0.0178
0.58,24.03,0.0529,0.8791,2.4261
10.8,354.27,0.0804,0.8942,33.4495
8.39,415.14,0.0705,0.8888,46.159
11.94,167.6,0.0314,0.8673,2.5527
1.39,57.31,0.1088,0.9098,6.4205
1.98,392.39,0.1422,0.9282,54.9386
14.9,261.01,0.1188,0.9153,11.4401
3.01,358.4,0.0592,0.8826,48.5493
15.7,287.98,0.0683,0.8876,13.6875
5.69,453.62,0.049,0.877,57.3525
13.34,226.2,0.0675,0.8871,8.7605
11.01,139.09,0.0854,0.897,0.0348
16.43,196.97,0.1072,0.909,0.3494
10.55,373.14,0.0454,0.875,36.3726
9.14,385.21,0.0279,0.8653,40.6909
2.16,263.02,0.1337,0.9235,35.2903
19.18,185.98,0.047,0.8759,0.0
16.7,423.75,0.0964,0.903,32.0943
7.85,369.9,0.0506,0.8778,40.6312
19.38,181.06,0.1113,0.9112,0.0384
11.06,193.42,0.0574,0.8816,8.176
5.85,428.2,0.138,0.9259,53.4124
15.57,103.61,0.0338,0.8686,0.0592
10.17,178.83,0.1396,0.9268,7.9314
3.87,227.7,0.1051,0.9078,26.8662
2.21,67.68,0.097,0.9033,5.9251
2.93,350.72,0.0372,0.8705,47.2635
15.37,86.65,0.0321,0.8677,0.0
2.95,26.11,0.0234,0.8629,0.1891
13.07,114.94,0.0259,0.8642,0.0
6.11,331.28,0.026,0.8643,38.3526
3.4,141.41,0.1105,0.9108,14.8106
8.68,56.83,0.0846,0.8965,0.3919
13.98,17.89,0.0248,0.8636,0.0
14.96,478.42,0.0923,0.9008,43.6412
2.44,110.5,0.1,0.905,11.7613
2.46,361.48,0.1201,0.9161,49.4933
9.98,428.01,0.0588,0.8823,45.6397
12.39,290.26,0.1146,0.913,20.0213
17.44,486.17,0.0278,0.8653,40.2251
2.86,43.26,0.0204,0.8612,1.2977
7.92,369.71,0.0216,0.8619,40.6148
1.27,65.5,0.0631,0.8847,7.454
16.19,194.44,0.0257,0.8641,0.0
17.9,409.73,0.0419,0.873,27.5486
6.95,245.45,0.0504,0.8777,23.7992
12.02,95.3,0.0588,0.8823,0.0
11.89,202.78,0.0755,0.8915,8.3964
0.63,347.29,0.0279,0.8653,50.6759
2.31,94.02,0.0643,0.8854,9.8751
9.16,277.33,0.1306,0.9218,24.3919
8.89,237.69,0.1462,0.9304,18.6422
3.36,383.7,0.0817,0.8949,51.3196
2.63,77.3,0.1458,0.9302,6.8603
6.59,130.84,0.0903,0.8997,7.3151
8.93,369.3,0.0406,0.8723,38.8932
2.92,395.23,0.0483,0.8766,53.913
5.95,443.99,0.0859,0.8972,55.2606
17.47,457.96,0.0533,0.8793,36.135
15.09,377.79,0.1225,0.9174,28.3071
5.26,271.69,0.0326,0.8679,30.8004
13.48,427.43,0.132,0.9226,39.0062
14.24,239.42,0.0645,0.8855,8.9911
18.46,244.78,0.1365,0.9251,2.0209
9.86,198.43,0.1432,0.9288,11.4021
19.83,320.54,0.0373,0.8705,11.1241
12.65,256.14,0.1253,0.9189,14.9126
8.01,80.95,0.0563,0.881,0.0883
2.25,310.44,0.0846,0.8965,42.0089
6.16,195.6,0.0538,0.8796,17.3948
17.67,295.34,0.0546,0.88,11.2875
14.14,195.65,0.0647,0.8856,2.6887
12.86,445.36,0.1143,0.9129,42.5367
0.88,136.4,0.1047,0.9076,18.7188
12.28,328.11,0.1424,0.9283,26.1997
14.31,289.82,0.1111,0.9111,16.4431
9.38,243.26,0.0217,0.8619,18.94
4.41,226.84,0.06,0.883,25.5011
10.51,488.31,0.1468,0.9307,53.2188
6.05,142.21,0.0802,0.8941,9.9161
11.99,188.13,0.0361,0.8699,5.8679
12.84,112.98,0.0737,0.8905,0.0
7.2,69.16,0.0419,0.873,0.2158
5.37,62.01,0.0957,0.9026,0.0568
9.78,498.97,0.0536,0.8795,56.5219
2.36,195.75,0.1433,0.9288,24.9194
17.84,199.44,0.0726,0.8899,0.0
15.52,62.29,0.042,0.8731,0.0
9.62,293.25,0.0967,0.9032,25.6543
9.64,20.03,0.1335,0.9234,0.421
13.56,308.39,0.0316,0.8674,20.9673
6.67,200.33,0.0772,0.8925,17.0349
12.37,83.99,0.0827,0.8955,0.0559
12.91,95.62,0.1375,0.9256,0.0
9.57,493.73,0.0848,0.8966,55.8189
19.67,59.03,0.0201,0.8611,0.1832
9.51,406.9,0.1173,0.9145,42.9708
17.05,407.63,0.0876,0.8982,29.1768
15.11,74.57,0.0687,0.8878,0.145
6.06,277.18,0.0263,0.8645,29.9481
10.1,116.13,0.1063,0.9085,0.0323
13.29,163.79,0.1443,0.9294,0.0
19.49,225.64,0.0655,0.886,0.0
19.03,445.89,0.0707,0.8889,30.9951
17.46,299.88,0.0765,0.8921,12.3051
1.22,193.04,0.0819,0.895,26.7087
3.73,70.96,0.0984,0.9041,3.3921
12.21,411.34,0.0995,0.9047,38.4491
19.2,492.57,0.0242,0.8633,38.1267
7.32,247.57,0.0647,0.8856,23.2092
11.41,468.29,0.0508,0.8779,48.8463
12.85,344.6,0.0866,0.8976,27.2477
5.62,339.67,0.0256,0.8641,40.6417
10.64,186.3,0.063,0.8846,8.2226
5.04,491.53,0.0257,0.8641,64.3376
13.39,53.96,0.0785,0.8932,0.093
8.17,441.91,0.0764,0.892,50.9846
2.38,440.68,0.1,0.905,61.4769
10.0,455.04,0.0325,0.8679,49.9074
4.32,160.84,0.0338,0.8686,15.9608
15.35,98.18,0.0549,0.8802,0.0
11.89,448.46,0.1349,0.9242,45.0028
18.8,110.1,0.0791,0.8935,0.0
11.35,268.05,0.0725,0.8899,18.8383
10.42,173.56,0.0669,0.8868,6.8859
17.6,291.38,0.0372,0.8705,10.7948
1.98,193.72,0.0966,0.9031,25.4239
8.05,298.34,0.125,0.9187,29.7207
1.78,410.45,0.0351,0.8693,58.3075
9.56,445.76,0.1428,0.9285,48.8241
17.51,307.08,0.1186,0.9152,13.1175
17.48,439.14,0.1279,0.9203,33.0006
13.92,303.43,0.0886,0.8987,19.4432
14.77,129.95,0.1159,0.9137,0.0
19.3,29.66,0.1488,0.9318,0.1893
7.48,14.36,0.0843,0.8964,0.0
14.29,172.5,0.0667,0.8867,0.0
2.11,204.62,0.146,0.9303,26.9061
0.97,84.9,0.1169,0.9143,10.9547
3.12,13.91,0.0686,0.8877,0.1697
9.71,262.45,0.0451,0.8748,21.4902
13.62,420.24,0.1496,0.9323,37.1291
13.61,159.83,0.1106,0.9108,0.0247
19.82,426.79,0.0553,0.8804,26.7542
15.15,484.31,0.0304,0.8667,44.1691
18.09,423.63,0.1499,0.9324,29.5846
7.14,193.16,0.0227,0.8625,15.6642
9.07,284.6,0.0405,0.8723,25.6548
9.98,371.24,0.0232,0.8628,36.8724
10.26,421.91,0.1378,0.9258,44.1117
4.89,452.95,0.1255,0.919,58.982
16.15,292.21,0.111,0.9111,13.4374
16.67,56.52,0.0772,0.8925,0.0
10.47,117.53,0.04,0.872,0.0
1.28,32.32,0.1301,0.9216,2.3613
17.3,387.49,0.0391,0.8715,25.1911
9.01,162.54,0.0666,0.8866,7.7181
0.84,64.44,0.0441,0.8743,7.5596
1.55,459.06,0.0298,0.8664,65.6091
1.89,314.09,0.0719,0.8895,43.5296
11.33,425.54,0.1021,0.9062,42.4047
8.91,121.72,0.1143,0.9129,1.6809
10.07,352.05,0.0292,0.8661,33.6418
13.12,123.13,0.1301,0.9216,0.0
15.91,482.17,0.0609,0.8835,42.6363
0.91,378.34,0.1231,0.9177,55.0012
5.8,288.82,0.1266,0.9196,32.4909
14.8,126.89,0.1314,0.9223,0.1053
6.1,177.84,0.0442,0.8743,15.3069
10.48,79.39,0.0216,0.8619,0.0
12.38,413.15,0.1023,0.9063,38.6482
2.33,16.54,0.0386,0.8712,0.3043
4.16,86.11,0.1348,0.9241,4.8552
11.17,195.39,0.0829,0.8956,8.4049
11.93,258.0,0.0937,0.9015,16.4255
5.0,228.08,0.0565,0.8811,24.6681
12.57,29.66,0.089,0.899,0.0794
15.44,219.44,0.1354,0.9245,3.8095
9.27,431.42,0.0673,0.887,47.7249
12.92,101.3,0.0296,0.8663,0.2032
4.85,440.46,0.1202,0.9161,56.4943
1.09,221.28,0.0945,0.902,30.7446
15.98,444.95,0.1456,0.9301,36.6786
6.94,214.76,0.1119,0.9115,19.0631
18.96,452.68,0.0525,0.8789,32.281
9.24,463.22,0.0615,0.8838,52.2309
6.72,463.12,0.0472,0.876,57.2671
9.77,479.46,0.1447,0.9296,53.7752
1.84,463.06,0.0737,0.8905,66.1637
2.56,410.88,0.0536,0.8795,56.9273
19.76,117.29,0.1027,0.9065,0.1088
17.24,380.31,0.1276,0.9202,24.6804
17.84,411.52,0.0494,0.8772,28.111
3.65,431.36,0.1294,0.9212,57.619
13.19,361.21,0.1033,0.9068,29.1716
10.03,230.68,0.0503,0.8777,15.7153
1.51,411.48,0.0675,0.8871,58.8296
14.18,337.14,0.1058,0.9082,23.9267
6.2,239.78,0.0296,0.8663,24.4023
2.77,74.68,0.0576,0.8817,5.9545
10.68,440.7,0.1119,0.9115,46.066
18.4,304.96,0.0928,0.901,11.2912
3.31,498.99,0.0983,0.9041,68.693
11.5,272.15,0.0495,0.8772,19.1679
3.98,189.16,0.0963,0.903,20.5465
12.72,417.89,0.1381,0.926,39.1227
16.55,145.79,0.0916,0.9004,0.0
18.66,141.94,0.0231,0.8627,0.0
4.24,206.06,0.0559,0.8807,23.2608
12.91,439.76,0.0975,0.9036,41.4917
9.59,419.08,0.0591,0.8825,45.0639
4.89,318.24,0.1303,0.9217,38.5764
12.99,326.8,0.1171,0.9144,24.6361
10.48,233.84,0.0444,0.8744,15.2455
8.73,415.61,0.1115,0.9113,45.7219
8.44,433.33,0.1196,0.9158,49.1251
14.8,225.63,0.0959,0.9027,6.0095
4.64,486.07,0.068,0.8874,64.3891
14.04,158.5,0.1461,0.9304,0.0
14.26,62.85,0.0667,0.8867,0.2321
14.12,392.51,0.0523,0.8788,32.3852
1.39,288.68,0.1478,0.9313,40.9639
13.67,96.67,0.0887,0.8988,0.0126
6.67,389.31,0.073,0.8901,45.6048
5.42,344.51,0.1129,0.9121,41.4522
2.22,473.38,0.1306,0.9218,66.5299
18.17,217.4,0.0573,0.8815,0.0
3.94,435.11,0.0292,0.8661,57.7647
9.8,13.26,0.1228,0.9175,0.0
1.39,286.88,0.0719,0.8895,40.4749
10.88,328.05,0.1161,0.9139,28.9214
1.5,497.34,0.0247,0.8636,71.8752
19.62,390.18,0.0746,0.891,21.661
3.47,418.48,0.096,0.9028,56.2342
16.51,386.6,0.0474,0.8761,26.7482
5.95,219.13,0.0511,0.8781,21.3913
6.28,347.87,0.0951,0.9023,40.0521
10.74,179.16,0.0776,0.8927,6.499
19.01,170.15,0.0217,0.8619,0.2736
11.27,427.55,0.0891,0.899,42.704
12.07,464.55,0.0496,0.8773,47.032
9.0,148.12,0.0375,0.8706,5.6362
10.35,59.68,0.1045,0.9075,0.0
6.39,304.2,0.061,0.8835,33.4459
9.64,273.89,0.0389,0.8714,23.3034
3.13,25.94,0.0844,0.8964,0.0
15.9,321.16,0.0829,0.8956,18.4875
3.9,490.2,0.0338,0.8686,66.2859
9.38,37.69,0.1007,0.9054,0.0
18.32,199.52,0.1417,0.9279,0.1075
18.45,289.94,0.1425,0.9284,8.6015
9.07,135.23,0.1452,0.9299,3.2249
8.24,221.75,0.0509,0.878,17.817
5.52,401.21,0.1095,0.9102,49.7512
19.82,90.88,0.086,0.8973,0.0324
7.23,104.24,0.0362,0.8699,2.0979
6.67,169.06,0.0685,0.8877,12.6897
15.39,99.82,0.0889,0.8989,0.144
9.9,349.62,0.0328,0.868,34.0442
5.78,376.79,0.1433,0.9288,45.7014
5.8,187.78,0.0988,0.9043,17.1019
1.7,238.33,0.1353,0.9244,32.7686
18.31,51.52,0.1032,0.9068,0.0
15.64,19.05,0.0789,0.8934,0.0
3.41,198.63,0.0286,0.8657,23.6672
5.01,260.83,0.0771,0.8924,29.4676
4.63,260.46,0.0612,0.8837,30.4139
11.32,14.34,0.0691,0.888,0.0
9.49,498.45,0.1193,0.9156,57.0094
14.88,306.34,0.1381,0.926,17.83
12.37,128.7,0.0562,0.8809,0.0479
1.85,418.35,0.0751,0.8913,59.2758
5.32,32.48,0.0413,0.8727,0.0709
2.53,272.96,0.0751,0.8913,35.7823
16.54,22.74,0.1016,0.9059,0.0144
2.42,305.39,0.0779,0.8928,41.4906
4.36,37.98,0.1154,0.9135,0.2299
8.4,110.83,0.1443,0.9294,0.5938
6.32,391.91,0.1248,0.9186,46.9461
16.41,162.67,0.0357,0.8696,0.0753
16.86,206.26,0.0594,0.8827,0.0
15.76,311.98,0.1418,0.928,17.0418
16.43,310.83,0.0534,0.8794,15.9943
14.72,294.73,0.0713,0.8892,16.7517
6.71,389.22,0.0722,0.8897,45.7378
11.64,320.0,0.1322,0.9227,26.1552
17.96,351.43,0.0321,0.8677,18.9973
19.55,441.77,0.0424,0.8733,29.5115
2.57,358.22,0.064,0.8852,48.8171
2.95,48.35,0.0537,0.8795,1.6527
18.01,342.59,0.13,0.9215,17.7863
